"id","stay","accommodates","total_price","rating","host_response_time","host_is_superhost","neighbourhood_cleansed","room_type","bed_type","review_scores_rating","distance"
7614517,top,1,500.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,96,2.40
6554785,top,1,577.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,96,2.02
3377100,top,1,815.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,98,2.50
2216767,top,1,567.0000000000000000,9.75,within a few hours,t,Beacon Hill,Entire home/apt,Real Bed,96,2.32
3528826,top,1,792.0000000000000000,9.75,within a few hours,t,Back Bay,Entire home/apt,Real Bed,98,2.57
6444148,top,1,453.00000000000000000000,9.65,within a day,t,Beacon Hill,Entire home/apt,Real Bed,93,2.31
7181950,top,1,620.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,98,2.19
12269155,top,1,600.00000000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,97,2.38
11223924,top,1,635.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,97,2.09
9218362,top,1,541.0000000000000000,9.40,within an hour,t,South Boston Waterfront,Entire home/apt,Real Bed,99,0.80
8704161,group,2,1550.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,100,2.13
5709298,group,2,667.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,98,2.32
6326257,group,2,1610.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,98,2.61
3890373,group,2,725.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,98,2.12
2754975,group,2,510.0000000000000000,9.85,within an hour,t,Beacon Hill,Entire home/apt,Real Bed,97,1.94
11122394,group,3,1675.0000000000000000,9.75,within a few hours,t,Back Bay,Entire home/apt,Real Bed,100,2.43
13005579,group,2,595.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,93,2.23
10175033,group,3,650.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,99,2.48
9259184,group,2,730.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,96,2.34
8458210,group,2,775.0000000000000000,9.55,within an hour,t,North End,Entire home/apt,Real Bed,99,2.62
1131634,group,2,657.00000000000000000000,9.45,within a few hours,t,West End,Entire home/apt,Real Bed,98,2.62
7713728,group,3,825.00000000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,97,1.93
11758169,group,3,850.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,96,0.94
6317722,group,2,665.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,97,1.26
6296656,group,2,710.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,98,1.28
6310903,group,4,1175.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,97,1.28
4090224,group,3,1560.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,97,1.36
257588,group,3,700.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,96,1.75
5163162,group,4,598.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,95,1.48
6317446,group,2,694.0000000000000000,9.40,within an hour,t,South Boston,Entire home/apt,Real Bed,97,1.09
1551205,group,2,1405.0000000000000000,9.35,within an hour,f,Back Bay,Entire home/apt,Real Bed,97,2.96
4632511,group,2,1015.0000000000000000,9.35,within an hour,f,Beacon Hill,Entire home/apt,Real Bed,92,2.31
5454513,group,3,679.0000000000000000,9.35,within an hour,f,Back Bay,Entire home/apt,Real Bed,92,2.76
5581575,group,3,1020.0000000000000000,9.35,within an hour,f,Back Bay,Entire home/apt,Real Bed,98,2.68
9231486,group,2,1700.0000000000000000,9.35,within an hour,t,Back Bay,Entire home/apt,Real Bed,99,3.70
4532603,group,2,782.0000000000000000,9.35,within an hour,f,Beacon Hill,Entire home/apt,Real Bed,98,2.29
11371205,group,3,1410.0000000000000000,9.35,within an hour,f,Back Bay,Entire home/apt,Real Bed,91,2.97
5455004,group,3,679.0000000000000000,9.35,within an hour,f,Back Bay,Entire home/apt,Real Bed,92,2.70
11120777,group,2,1130.0000000000000000,9.35,within an hour,f,Beacon Hill,Entire home/apt,Real Bed,96,2.51
2881388,group,3,2235.0000000000000000,9.35,within an hour,t,Back Bay,Entire home/apt,Real Bed,96,3.17
